CURSO;CÓDIGO DE TURMA;TURMA;TEORIA;PRÁTICA;Campus;turno;t-p-i;TOTAL DE VAGAS;SALDO DE VAGAS PARA O AJUSTE;DOCENTE TEORIA;DOCENTE PRÁTICA
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;NANHZ1090-15SA;Imunologia Aplicada A-noturno (Santo André);sexta das 19:00 às 23:00, semanal;;SA;noturno;4-0-5;40;23;Vinicius De Andrade Oliveira;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;NANHT1059-15SA;Morfofisiologia Humana II A-noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quinta das 19:00 às 21:00, semanal";segunda das 21:00 às 23:00, semanal;SA;noturno;4-2-4;30;5;Marcela Sorelli Carneiro Ramos;Marcelo Augusto Christoffolete
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHT1066-15SA;Morfofisiologia animal comparada A- diurno (Santo André);quinta das 08:00 às 12:00, semanal;;SA;diurno;4-0-4;30;20;Fabiana Rodrigues Costa Nunes;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;NANHT1066-15SA;Morfofisiologia animal comparada A- noturno (Santo André);quinta das 19:00 às 23:00, semanal;;SA;noturno;4-0-4;30;11;Otto Muller Patrao De Oliveira;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHZ1037-15SB;Parasitologia A-diurno (São Bernardo do Campo);segunda das 09:00 às 12:00, semanal;;SB;diurno;3-0-3;30;16;Marcia Aparecida Sperança;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;NANHZ1037-15SB;Parasitologia A-noturno (São Bernardo do Campo);segunda das 19:00 às 22:00, semanal;;SB;noturno;3-0-3;30;10;Marcia Aparecida Sperança;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHT1049-15SA;Trabalho de Conclusão de Curso em Biologia A-diurno (Santo André);quarta das 08:00 às 10:00, semanal;;SA;diurno;2-0-2;30;26;Fernanda Dias Da Silva;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;NANHT1049-15SA;Trabalho de Conclusão de Curso em Biologia A-noturno (Santo André);quarta das 19:00 às 21:00, semanal;;SA;noturno;2-0-2;30;27;Carlos Alberto Da Silva;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHZ1051-13SA;Virologia A-diurno (Santo André);segunda das 14:00 às 18:00, semanal;;SA;diurno;4-0-4;40;15;Maria Cristina Carlan Da Silva;0
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;DANHT1063-15SA;Zoologia de Invertebrados I A-diurno (Santo André);quarta das 08:00 às 10:00, semanal;sexta das 08:00 às 12:00, semanal;SA;diurno;2-4-3;30;9;Alberto Jose Arab Olavarrieta;Alberto Jose Arab Olavarrieta
BACHARELADO EM CIÊNCIAS BIOLÓGICAS;NANHT1063-15SA;Zoologia de Invertebrados I A-noturno (Santo André);quarta das 19:00 às 21:00, semanal;sexta das 19:00 às 23:00, semanal;SA;noturno;2-4-3;30;17;Alberto Jose Arab Olavarrieta;Alberto Jose Arab Olavarrieta
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB1BIR0004-15SB;Bases Epistemológicas da Ciência Moderna B1-diurno (São Bernardo do Campo);"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, quinzenal I";;SB;diurno;3-0-4;50;23;Bruno Nadai;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DA2BIS0003-15SB;Bases Matemáticas A2-diurno (São Bernardo do Campo);"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SB;diurno;4-0-5;60;3;Ana Carolina Boero;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB1BIS0003-15SB;Bases Matemáticas B1-diurno (São Bernardo do Campo);"quarta das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal";;SB;diurno;4-0-5;60;6;Ana Carolina Boero;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;NB1BIS0003-15SB;Bases Matemáticas B1-noturno (São Bernardo do Campo);"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal";;SB;noturno;4-0-5;60;4;Ercilio Carvalho Da Silva;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB2BIS0003-15SB;Bases Matemáticas B2-diurno (São Bernardo do Campo);"quarta das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal";;SB;diurno;4-0-5;60;8;Ilma Aparecida Marques Silva;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB1BHQ0002-15SB;Estudos Étnico-Raciais B1-diurno (São Bernardo do Campo);"segunda das 10:00 às 12:00, quinzenal I; quarta das 08:00 às 10:00, semanal";;SB;diurno;3-0-4;100;1;Luciana Xavier De Oliveira;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB1BHQ0003-15SB;Interpretações do Brasil B1-diurno (São Bernardo do Campo);"segunda das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, semanal";;SB;diurno;4-0-4;60;26;Arilson Da Silva Favareto;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;NB1BHQ0003-15SB;Interpretações do Brasil B1-noturno (São Bernardo do Campo);"segunda das 21:00 às 23:00, semanal ; quarta das 19:00 às 21:00, semanal";;SB;noturno;4-0-4;60;20;Neusa Serra;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DA1BIN0406-15SB;Introdução à Probabilidade e à Estatística A1-diurno (São Bernardo do Campo);"terça das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, quinzenal II";;SB;diurno;3-0-4;60;40;Edson Ryoji Okamoto Iwaki;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB1BIN0406-15SB;Introdução à Probabilidade e à Estatística B1-diurno (São Bernardo do Campo);"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, quinzenal II";;SB;diurno;3-0-4;60;39;Edson Ryoji Okamoto Iwaki;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB1BHP0202-15SB;Pensamento Crítico B1-diurno (São Bernardo do Campo);"terça das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;50;1;Anderson De Araújo;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB2BHP0202-15SB;Pensamento Crítico B2-diurno (São Bernardo do Campo);"terça das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;50;2;Roque Da Costa Caiero;0
BACHARELADO EM CIÊNCIAS E HUMANIDADES;DB1BHQ0301-15SB;Território e Sociedade B1-diurno (São Bernardo do Campo);"terça das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SB;diurno;4-0-4;100;1;Andre Buonani Pasti;0
BACHARELADO EM CIÊNCIAS ECONÔMICAS;DA1ESZC001-17SB;Análise de Séries Temporais - Tópicos Especiais A1-diurno (São Bernardo do Campo);"quarta das 17:00 às 19:00, semanal ; sexta das 17:00 às 19:00, semanal";;SB;diurno;4-0-3;40;27;Guilherme De Oliveira Lima Cagliari Marques;Guilherme De Oliveira Lima Cagliari Marques
BACHARELADO EM CIÊNCIAS ECONÔMICAS;DAESHC003-17SB;Desenvolvimento Socioeconômico A- diurno (São Bernardo do Campo);"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SB;diurno;4-0-3;65;1;Vitor Eduardo Schincariol;Vitor Eduardo Schincariol
BACHARELADO EM CIÊNCIAS ECONÔMICAS;NAESHC003-17SB;Desenvolvimento Socioeconômico A- noturno (São Bernardo do Campo);"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SB;noturno;4-0-3;97;2;Vitor Eduardo Schincariol;Vitor Eduardo Schincariol
BACHARELADO EM CIÊNCIAS ECONÔMICAS;DAESHC037-17SB;Econometria III A-diurno (São Bernardo do Campo);quarta das 10:00 às 12:00, semanal;segunda das 08:00 às 10:00, semanal;SB;diurno;2-2-3;45;10;Ricardo Buscariolli Pereira;Ricardo Buscariolli Pereira
BACHARELADO EM CIÊNCIAS ECONÔMICAS;NAESHC007-17SB;Economia Brasileira Contemporânea I A- noturno (São Bernardo do Campo);"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal";;SB;noturno;4-0-3;138;1;Ricardo Luiz Chagas Amorim;Ricardo Luiz Chagas Amorim
BACHARELADO EM CIÊNCIAS ECONÔMICAS;DA1ESHC033-17SB;Economia Brasileira Contemporânea III A1-diurno (São Bernardo do Campo);"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;55;5;Giorgio Romano Schutte;Giorgio Romano Schutte
BACHARELADO EM CIÊNCIAS ECONÔMICAS;NAESHC012-17SB;Economia Institucional I A-noturno (São Bernardo do Campo);"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal";;SB;noturno;4-0-3;90;1;Manuel Ramon Souza Luz;Manuel Ramon Souza Luz
BACHARELADO EM CIÊNCIAS ECONÔMICAS;DA1ESHC027-17SB;Economia Matemática A1-diurno (São Bernardo do Campo);"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;75;1;Maximiliano Barbosa Da Silva;Maximiliano Barbosa Da Silva
BACHARELADO EM CIÊNCIAS ECONÔMICAS;NA1ESHC027-17SB;Economia Matemática A1-noturno (São Bernardo do Campo);"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SB;noturno;4-0-4;115;3;Maximiliano Barbosa Da Silva;Maximiliano Barbosa Da Silva
BACHARELADO EM CIÊNCIAS ECONÔMICAS;NA1ESHC024-19SB;Macroeconomia III A1-noturno (São Bernardo do Campo);"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SB;noturno;4-0-4;60;11;Ana Claudia Polato E Fava;Ana Claudia Polato E Fava
BACHARELADO EM CIÊNCIAS ECONÔMICAS;NA2ESHC025-17SB;Microeconomia I A2-noturno (São Bernardo do Campo);"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal";;SB;noturno;4-0-4;50;1;Ricardo Batista Politi;Ricardo Batista Politi
BACHARELADO EM FILOSOFIA;DANHH2008-13SB;Estética: Perspectivas Contemporâneas A-diurno (São Bernardo do Campo);"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;45;24;Alexia Cruz Bretas;0
BACHARELADO EM FILOSOFIA;NANHH2008-13SB;Estética: Perspectivas Contemporâneas A-noturno (São Bernardo do Campo);"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal";;SB;noturno;4-0-4;45;9;Alexia Cruz Bretas;0
BACHARELADO EM FILOSOFIA;DANHH2029-13SB;Filosofia Política: perspectivas contemporâneas A-diurno (São Bernardo do Campo);"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;45;33;Nathalie De Almeida Bressiani;0
BACHARELADO EM FILOSOFIA;NANHH2029-13SB;Filosofia Política: perspectivas contemporâneas A-noturno (São Bernardo do Campo);"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal";;SB;noturno;4-0-4;45;9;Nathalie De Almeida Bressiani;0
BACHARELADO EM FILOSOFIA;DANHH2019-13SB;Filosofia da Linguagem A-diurno (São Bernardo do Campo);"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SB;diurno;4-0-4;45;26;Cesar Fernando Meurer;0
BACHARELADO EM FILOSOFIA;NANHH2019-13SB;Filosofia da Linguagem A-noturno (São Bernardo do Campo);"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SB;noturno;4-0-4;45;16;Cesar Fernando Meurer;0
BACHARELADO EM FILOSOFIA;NANHH2026-13SB;Filosofia no Brasil e na América Latina A- noturno (São Bernardo do Campo);"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SB;noturno;4-0-4;60;1;Daniel Pansarelli;0
BACHARELADO EM FILOSOFIA;DANHH2047-13SB;Historiografia e História das Ciências A- diurno (São Bernardo do Campo);"segunda das 08:00 às 10:00, semanal ; quarta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;45;41;Graciela De Souza Oliver;0
BACHARELADO EM FILOSOFIA;NANHH2047-13SB;Historiografia e História das Ciências A- noturno (São Bernardo do Campo);"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal";;SB;noturno;4-0-4;45;37;Graciela De Souza Oliver;0
BACHARELADO EM FILOSOFIA;DANHH2040-13SB;História da Filosofia Moderna: o Iluminismo e seus desdobramentos A- diurno (São Bernardo do Campo);"segunda das 08:00 às 10:00, semanal ; quarta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;45;34;Luiz Fernando Barrere Martin;0
BACHARELADO EM FILOSOFIA;NANHH2040-13SB;História da Filosofia Moderna: o Iluminismo e seus desdobramentos A- noturno (São Bernardo do Campo);"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal";;SB;noturno;4-0-4;45;27;Luiz Fernando Barrere Martin;0
BACHARELADO EM FILOSOFIA;DANHZ2048-11SB;Interposições da Linguagem à Filosofia Contemporânea A-diurno (São Bernardo do Campo);"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;45;42;Jose Luiz Bastos Neves;0
BACHARELADO EM FILOSOFIA;NANHZ2048-11SB;Interposições da Linguagem à Filosofia Contemporânea A-noturno (São Bernardo do Campo);"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SB;noturno;4-0-4;45;41;Jose Luiz Bastos Neves;0
BACHARELADO EM FILOSOFIA;DANHZ2130-18SB;Teorias das Vanguardas Artísticas A- diurno (São Bernardo do Campo);"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal";;SB;diurno;4-0-4;45;1;Marine De Souza Pereira;0
BACHARELADO EM FILOSOFIA;DANHH2010-13SB;Ética: perspectivas contemporâneas A- diurno (São Bernardo do Campo);"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;45;37;Flamarion Caldeira Ramos;0
BACHARELADO EM FILOSOFIA;NANHH2010-13SB;Ética: perspectivas contemporâneas A- noturno (São Bernardo do Campo);"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SB;noturno;4-0-4;45;22;Flamarion Caldeira Ramos;0
BACHARELADO EM FÍSICA;NANHZ1003-15SA;Biofísica A-noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;30;11;Wanius Jose Garcia Da Silva;0
BACHARELADO EM FÍSICA;DANHZ3076-15SA;Eletromagnetismo III A-diurno (Santo André);"segunda das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, semanal";;SA;diurno;4-0-4;30;27;Francisco Eugenio Mendonça Da Silveira;0
BACHARELADO EM FÍSICA;NANHZ3076-15SA;Eletromagnetismo III A-noturno (Santo André);"segunda das 21:00 às 23:00, semanal ; quarta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;30;28;Francisco Eugenio Mendonça Da Silveira;0
BACHARELADO EM FÍSICA;DANHZ3078-15SA;Equações Diferenciais Parciais Aplicadas A-diurno (Santo André);"terça das 16:00 às 18:00, semanal ; quinta das 14:00 às 16:00, semanal";;SA;diurno;4-0-4;30;6;Adriano Reinaldo Viçoto Benvenho;0
BACHARELADO EM FÍSICA;NANHZ3010-15SA;Física Computacional A-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal I";quinta das 19:00 às 21:00, quinzenal II;SA;noturno;3-1-4;30;18;Pedro Alves Da Silva Autreto;Pedro Alves Da Silva Autreto
BACHARELADO EM FÍSICA;NANHZ3083-15SA;Introdução à Física Estelar A-noturno (Santo André);"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;30;24;Pieter Willem Westera;0
BACHARELADO EM FÍSICA;DANHZ3026-15SA;Introdução à Física Nuclear A-diurno (Santo André);"terça das 14:00 às 16:00, semanal ; quinta das 16:00 às 18:00, semanal";;SA;diurno;4-0-4;30;15;Marcelo Augusto Leigui De Oliveira;0
BACHARELADO EM FÍSICA;DANHT3068-15SA;Mecânica Clássica I A-diurno (Santo André);"segunda das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, semanal";;SA;diurno;4-0-4;30;4;Andre Paniago Lessa;0
BACHARELADO EM FÍSICA;NANHT3068-15SA;Mecânica Clássica I A-noturno (Santo André);"segunda das 21:00 às 23:00, semanal ; quarta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;30;14;Marcos Roberto Da Silva Tavares;0
BACHARELADO EM FÍSICA;DANHT3073-15SA;Mecânica Quântica II A-diurno (Santo André);"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SA;diurno;4-0-4;30;21;0;0
BACHARELADO EM FÍSICA;NANHT3073-15SA;Mecânica Quântica II A-noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;30;12;Alex Gomes Dias;0
BACHARELADO EM FÍSICA;DA2NHT3049-15SA;Princípios de Termodinâmica A2-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SA;diurno;4-0-6;30;20;Leticie Mendonça Ferreira;0
BACHARELADO EM FÍSICA;NA2NHT3049-15SA;Princípios de Termodinâmica A2-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SA;noturno;4-0-6;30;14;Jean Jacques Bonvent;0
BACHARELADO EM FÍSICA;NANHZ3056-15SA;Teoria de Grupos em Física A-noturno (Santo André);"segunda das 21:00 às 23:00, semanal ; quarta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;30;17;Alysson Fabio Ferrari;0
BACHARELADO EM FÍSICA;DANHT3089-15SA;Trabalho de Conclusão de Curso em Física A-diurno (Santo André);sábado das 10:00 às 12:00, semanal;;SA;diurno;2-0-10;30;23;Andre Gustavo Scagliusi Landulfo;0
BACHARELADO EM FÍSICA;DANHT3044-15SA;Óptica A-diurno (Santo André);"quarta das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, quinzenal I";quinta das 08:00 às 10:00, quinzenal II;SA;diurno;3-1-4;30;17;Breno Marques Goncalves Teixeira;Breno Marques Goncalves Teixeira
BACHARELADO EM MATEMÁTICA;NAMCTB006-13SA;Análise Real II A-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;45;25;Igor Ambo Ferra;0
BACHARELADO EM MATEMÁTICA;DA1MCTB009-17SA;Cálculo Numérico A1-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SA;diurno;4-0-4;60;5;Fedor Pisnitchenko;0
BACHARELADO EM MATEMÁTICA;NA3MCTB009-17SA;Cálculo Numérico A3-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;60;20;Claudio Nogueira De Meneses;0
BACHARELADO EM MATEMÁTICA;DB1MCTB009-17SA;Cálculo Numérico B1-diurno (Santo André);"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SA;diurno;4-0-4;60;13;Fedor Pisnitchenko;0
BACHARELADO EM MATEMÁTICA;NB3MCTB009-17SA;Cálculo Numérico B3-noturno (Santo André);"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;60;34;Claudio Nogueira De Meneses;0
BACHARELADO EM MATEMÁTICA;NA1MCTB010-13SA;Cálculo Vetorial e Tensorial A1-noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;60;12;Alan Maciel Da Silva;0
BACHARELADO EM MATEMÁTICA;NB1MCTB010-13SA;Cálculo Vetorial e Tensorial B1-noturno (Santo André);"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;60;28;Alan Maciel Da Silva;0
BACHARELADO EM MATEMÁTICA;DB2MCTB010-13SA;Cálculo Vetorial e Tensorial B2-diurno (Santo André);"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SA;diurno;4-0-4;60;8;Nail Khusnutdinov;0
BACHARELADO EM MATEMÁTICA;DB3MCTB010-13SA;Cálculo Vetorial e Tensorial B3-diurno (Santo André);"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SA;diurno;4-0-4;60;2;Vladislav Kupriyanov;0
BACHARELADO EM MATEMÁTICA;NAMCTB012-13SA;Equações Diferenciais Parciais A-noturno (Santo André);"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;45;24;Igor Leite Freire;0
BACHARELADO EM MATEMÁTICA;NAMCTB014-17SA;Extensões Algébricas A-noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;45;32;Nazar Arakelian;0
BACHARELADO EM MATEMÁTICA;NAMCTB015-17SA;Funções de Variável Complexa A- noturno (Santo André);"segunda das 21:00 às 23:00, semanal ; quarta das 19:00 às 21:00, semanal ; sexta das 19:00 às 21:00, semanal";;SA;noturno;6-0-5;45;27;Antonio Candido Faleiros;0
BACHARELADO EM MATEMÁTICA;NAMCTB016-13SA;Geometria Diferencial I A-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;45;32;Marcus Antonio Mendonca Marrocos;0
BACHARELADO EM MATEMÁTICA;NAMCZB014-17SA;Introdução à Análise Funcional A- noturno (Santo André);"segunda das 21:00 às 23:00, semanal ; quarta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;45;37;Dahisy Valadao De Souza Lima;0
BACHARELADO EM MATEMÁTICA;NBMCZB015-13SA;Introdução à Criptografia B-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;45;45;Sara Diaz Cardell;0
BACHARELADO EM MATEMÁTICA;NAMCZB021-13SA;Introdução às Curvas Algébricas A- noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;45;41;Paula Andrea Cadavid Salazar;0
BACHARELADO EM MATEMÁTICA;DAMCTB019-17SA;Matemática Discreta A-diurno (Santo André);"segunda das 10:00 às 12:00, semanal ; quarta das 08:00 às 10:00, semanal";;SA;diurno;4-0-4;60;28;Maria De Lourdes Merlini Giuliani;0
BACHARELADO EM MATEMÁTICA;NA1MCTB019-17SA;Matemática Discreta A1-noturno (Santo André);"segunda das 21:00 às 23:00, semanal ; quarta das 19:00 às 21:00, semanal";;SA;noturno;4-0-4;60;9;Francisco Jose Gozzi;0
BACHARELADO EM MATEMÁTICA;DB1MCTB019-17SA;Matemática Discreta B1-diurno (Santo André);"segunda das 08:00 às 10:00, semanal ; quarta das 10:00 às 12:00, semanal";;SA;diurno;4-0-4;60;18;Jair Donadelli Junior;0
BACHARELADO EM MATEMÁTICA;NB2MCTB019-17SA;Matemática Discreta B2-noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;60;18;Paula Andrea Cadavid Salazar;0
BACHARELADO EM MATEMÁTICA;NAMCTB020-17SA;Teoria da Medida e Integração A- noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;45;29;Rafael De Mattos Grisi;0
BACHARELADO EM MATEMÁTICA;DAMCTB024-13SA;Trabalho de Conclusão de Curso em Matemática I A-diurno (Santo André);sábado das 08:00 às 10:00, semanal;;SA;diurno;0-2-4;45;44;Erika Alejandra Rada Mora;0
BACHARELADO EM MATEMÁTICA;DAMCTB025-13SA;Trabalho de Conclusão de Curso em Matemática II A-diurno (Santo André);sábado das 10:00 às 12:00, semanal;;SA;diurno;0-2-4;45;38;Erika Alejandra Rada Mora;0
BACHARELADO EM MATEMÁTICA;DAMCTB027-13SA;Trabalho de Conclusão de Curso em Matemática III A-diurno (Santo André);sábado das 14:00 às 16:00, semanal;;SA;diurno;0-2-6;45;37;Erika Alejandra Rada Mora;0
BACHARELADO EM NEUROCIÊNCIA;NA1MCZC002-15SB;Bases Neurais da Motricidade A1- noturno (São Bernardo do Campo);;"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal";SB;noturno;4-0-4;40;20;Abrahao Fontes Baptista;0
BACHARELADO EM NEUROCIÊNCIA;DA1MCZC002-15SB;Bases Neurais da Motricidade A1-diurno (São Bernardo do Campo);;"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal";SB;diurno;4-0-4;40;28;Marcela Bermudez Echeverry;0
BACHARELADO EM NEUROCIÊNCIA;DA1MCZC007-15SB;Ergonomia Cognitiva A1-diurno (São Bernardo do Campo);;"segunda das 08:00 às 10:00, semanal ; quarta das 10:00 às 12:00, semanal";SB;diurno;4-0-4;40;2;Katerina Lukasova;0
BACHARELADO EM NEUROCIÊNCIA;DAMCTC018-15SB;Neuropsicofarmacologia A-diurno (São Bernardo do Campo);"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SB;diurno;3-1-4;40;3;Raquel Vecchio Fornari;0
BACHARELADO EM NEUROCIÊNCIA;DA1MCTC007-15SB;Pesquisa e Comunicação Científica A1- diurno (São Bernardo do Campo);quarta das 10:00 às 12:00, semanal;;SB;diurno;2-0-2;40;12;Joao Ricardo Sato;0
BACHARELADO EM NEUROCIÊNCIA;DAMCTC009-15SB;Progressos e Métodos em Neurociência A-diurno (São Bernardo do Campo);"segunda das 08:00 às 10:00, semanal ; quarta das 10:00 às 12:00, semanal";;SB;diurno;3-1-4;40;3;Fernando Augusto De Oliveira Ribeiro;0
BACHARELADO EM NEUROCIÊNCIA;DAMCTC020-15SB;Psicologia Experimental A-diurno (São Bernardo do Campo);terça das 08:00 às 10:00, semanal;"quinta das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";SB;diurno;2-4-4;40;7;Marcelo Salvador Caetano;0
BACHARELADO EM PLANEJAMENTO TERRITORIAL;DA1ESZT002-17SB;Desenvolvimento Humano e Pobreza Urbana A1-diurno (São Bernardo do Campo);"segunda das 17:00 às 19:00, semanal ; quarta das 17:00 às 19:00, semanal";;SB;diurno;4-0-4;40;1;Leonardo Freire De Mello;0
BACHARELADO EM PLANEJAMENTO TERRITORIAL;DAESHT009-17SB;História da Cidade e do Urbanismo A- diurno (São Bernardo do Campo);"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SB;diurno;4-0-4;38;3;Patricia Maria De Jesus;0
BACHARELADO EM PLANEJAMENTO TERRITORIAL;NAESHT012-17SB;Mobilização Produtiva dos Territórios e Desenvolvimento Local A-noturno (São Bernardo do Campo);;"segunda das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal";SB;noturno;4-0-4;60;16;Gerardo Alberto Silva;0
